neuron_type,laps,replays,skew
NeuronType.PYRAMIDAL,-0.5411940604105789,-0.24788675480794609,2.1832310517352047
NeuronType.PYRAMIDAL,-0.1494256658724388,-0.24751944571215329,0.603692632885942
NeuronType.PYRAMIDAL,0.1718704419074432,-0.24089172102607778,-0.7134759184556505
NeuronType.PYRAMIDAL,-0.05023231363327899,-0.21962333801406542,0.22872029032753316
NeuronType.PYRAMIDAL,0.9464288973077466,-0.20076106601083557,-4.7142053791279706
NeuronType.PYRAMIDAL,-0.052578393905189064,-0.19936018562497182,0.2637356789188458
NeuronType.CONTAMINATED,-0.18637339849388213,-0.19552910972412707,0.9531746897269527
NeuronType.INTERNEURONS,-0.07821878508466762,-0.19059533270811177,0.41039192289381077
NeuronType.CONTAMINATED,-0.04598722266470503,-0.18402321309066824,0.24989903117302448
NeuronType.PYRAMIDAL,-0.6145464746011726,-0.18285331844653357,3.3608713247436435
NeuronType.PYRAMIDAL,-0.24468207028428443,-0.1818514907670062,1.3455048911189775
NeuronType.PYRAMIDAL,-0.17378832842601707,-0.17618799258793888,0.986380092498505
NeuronType.PYRAMIDAL,-0.48486046220170886,-0.17183928411598326,2.821592656743445
NeuronType.PYRAMIDAL,0.10475798993138918,-0.12447367621896208,-0.8416075841377821
NeuronType.PYRAMIDAL,-0.03942802069056158,-0.1203400256140681,0.32763846018287973
NeuronType.CONTAMINATED,0.07370253703304064,-0.11709703069331842,-0.6294142267882982
NeuronType.PYRAMIDAL,-0.10327406702537308,-0.11522181311988558,0.8963065606155567
NeuronType.CONTAMINATED,0.031026724840766833,-0.10480157636045409,-0.2960520816409636
NeuronType.CONTAMINATED,-0.16975101392971143,-0.07542381091833947,2.250628970650913
NeuronType.CONTAMINATED,0.022831872090051494,-0.06483169813729507,-0.35217143382084626
NeuronType.PYRAMIDAL,0.30738795829461796,-0.06216080394300168,-4.945044767704053
NeuronType.PYRAMIDAL,0.4400664318906609,-0.05833083593423566,-7.544318966846422
NeuronType.CONTAMINATED,-0.006435639476866715,-0.054670811881530675,0.11771618630453984
NeuronType.PYRAMIDAL,-0.8886234853147184,-0.04684038826199855,18.971309126309176
NeuronType.PYRAMIDAL,0.10515155656845422,-0.045916630227347745,-2.2900538660571486
NeuronType.CONTAMINATED,-0.00038891282933301285,-0.0405851299269216,0.009582643446831317
NeuronType.PYRAMIDAL,-0.3418164470121488,-0.03761514671355477,9.08720228090919
NeuronType.INTERNEURONS,-0.07175491563978206,-0.03226940559429346,2.22362061892058
NeuronType.PYRAMIDAL,0.506218491585526,-0.02544187605085353,-19.897058321237413
NeuronType.CONTAMINATED,0.0301899532526915,-0.02026910683324438,-1.489456516316518
NeuronType.CONTAMINATED,0.026137062329271186,0.022709765168722727,1.1509173316009775
NeuronType.CONTAMINATED,0.10122954040352045,0.028463253360131256,3.5564992913042612
NeuronType.INTERNEURONS,0.09655613360123805,0.02911982574009579,3.3158211337881593
NeuronType.CONTAMINATED,-0.02929131330997156,0.034363135001885654,-0.8524051518688333
NeuronType.CONTAMINATED,0.05770155355504864,0.04441139669739985,1.2992510446857188
