session_export_path,short_xlim_1,short_xlim_2,long_xlim_1,long_xlim_2,pix2cm,x_midpoint,short_ylim_1,short_ylim_2,long_ylim_1,long_ylim_2,epoch_data_1,epoch_data_2,epoch_data_3,epoch_data_4,epoch_data_rel_1,epoch_data_rel_2,epoch_data_rel_3,epoch_data_rel_4,n_epochs,epoch_durations_1,epoch_durations_2,total_duration
W:\Data\KDIBA\pin01\one\11-02_17-46-44,94.015563707974,193.756570902219,59.0773897438341,228.690043991297,287.769784172662,143.884892086331,137.201714038605,143.963517710422,136.100955301333,144.592522703149,3164.893218,4309.12162162162,4309.12162162162,5106.32644,0,1144.22840362162,1144.22840362162,1941.433222,2,1144.22840362162,797.204818378378,1941.433222
W:\Data\KDIBA\pin01\one\11-02_19-28-0,94.015563707974,193.756570902219,59.0773897438341,228.690043991297,287.769784172662,143.884892086331,141.604748987695,147.580296418603,141.447497739513,147.737547666785,9105.257373,9892.76541515538,9892.76541515538,10283.017937,0,787.508042155376,787.508042155376,1177.760564,2,787.508042155376,390.252521844623,1177.760564
W:\Data\KDIBA\pin01\one\11-03_12-3-25,94.015563707974,193.756570902219,59.0773897438341,228.690043991297,287.769784172662,143.884892086331,139.245980264968,146.322286433149,138.931477768605,146.636788929512,8950.848209,9619.90846681922,9619.90846681922,9956.29290617849,0,669.060257819221,669.060257819221,1005.44469717849,2,669.060257819221,336.384439359268,1005.44469717849
W:\Data\KDIBA\pin01\one\11-03_21-26-8,94.015563707974,193.756570902219,59.0773897438341,228.690043991297,287.769784172662,143.884892086331,138.376660634682,144.308602197996,138.094187226906,144.732312309661,16481.594935,17067.5629290618,17067.5629290618,17328.2036613272,0,585.967994061783,585.967994061783,846.608726327231,2,585.967994061783,260.640732265449,846.608726327231
W:\Data\KDIBA\pin01\one\11-05_19-26-43,94.015563707974,193.756570902219,59.0773897438341,228.690043991297,287.769784172662,143.884892086331,142.754998455224,148.828176722426,142.684380103279,149.181268482147,6034.825998,6695.59496567506,6695.59496567506,7276.507754,0,660.768967675058,660.768967675058,1241.681756,2,660.768967675058,580.912788324942,1241.681756
W:\Data\KDIBA\pin01\one\11-09_11-43-50,94.015563707974,193.756570902219,59.0773897438341,228.690043991297,287.769784172662,143.884892086331,140.918921304674,147.910138147151,141.836959879949,148.192611554928,4083.369056,4547.4828375286,4547.4828375286,4794.93707093821,0,464.113781528604,464.113781528604,711.568014938215,2,464.113781528604,247.45423340961,711.568014938215
W:\Data\KDIBA\pin01\one\11-09_12-15-3,94.015563707974,193.756570902219,59.0773897438341,228.690043991297,287.769784172662,143.884892086331,144.520457253829,150.805490576864,143.814273734387,151.017345632696,5938.282131,6411.09839816934,6411.09839816934,6706.091421,0,472.816267169336,472.816267169336,767.80929,2,472.816267169336,294.993022830664,767.80929
W:\Data\KDIBA\pin01\one\11-09_21-17-16,94.015563707974,193.756570902219,59.0773897438341,228.690043991297,287.769784172662,143.884892086331,143.743655382443,149.463741889924,143.108090214945,149.675596945756,753.002244,1211.95652173913,1211.95652173913,1462.0709382151,0,458.95427773913,458.95427773913,709.068694215103,2,458.95427773913,250.114416475972,709.068694215103
W:\Data\KDIBA\pin01\one\11-09_22-4-5,94.015563707974,193.756570902219,59.0773897438341,228.690043991297,287.769784172662,143.884892086331,141.907578231893,147.910138147151,141.625104824116,147.839519795207,3555.935748,3943.36384439359,3943.36384439359,4301.095796,0,387.428096393593,387.428096393593,745.160048,2,387.428096393593,357.731951606407,745.160048
W:\Data\KDIBA\pin01\one\fet11-01_12-58-54,94.015563707974,193.756570902219,59.0773897438341,228.690043991297,287.769784172662,143.884892086331,140.283356137176,146.144679348546,140.142119433288,147.274572979653,9209.586917,11266.8128654971,11266.8128654971,12241.314164,0,2057.22594849708,2057.22594849708,3031.727247,2,2057.22594849708,974.501298502924,3031.727247
W:\Data\KDIBA\pin01\one\fet11-03_20-28-3,94.015563707974,193.756570902219,59.0773897438341,228.690043991297,287.769784172662,143.884892086331,137.952950523017,144.096747142164,137.741095467185,144.661693957717,13003.779281,13709.8353503172,13709.8353503172,14084.6126165077,0,706.056069317214,706.056069317214,1080.83333550768,2,706.056069317214,374.777266190464,1080.83333550768
W:\Data\KDIBA\pin01\one\fet11-04_21-20-3,94.015563707974,193.756570902219,59.0773897438341,228.690043991297,287.769784172662,143.884892086331,138.546656532268,143.496013999611,138.051720785534,143.70812931964,2212.694378,2921.05263157895,2921.05263157895,3355.726104,0,708.358253578947,708.358253578947,1143.031726,2,708.358253578947,434.673472421053,1143.031726
