format_name,animal,exper_name,session_name,path,session_datetime,experience_rank,experience_orientation_rank,session_uid,is_bad_session,good_only_experience_rank,good_only_experience_orientation_rank,is_excluded,is_known_good
kdiba,pin01,one,11-02_17-46-44,W:/Data/KDIBA/pin01/one/11-02_17-46-44,2006-11-02 17:46:44,1,1,kdiba|pin01|one|11-02_17-46-44,True,-1,-1,True,False
kdiba,pin01,one,11-02_19-28-0,W:/Data/KDIBA/pin01/one/11-02_19-28-0,2006-11-02 19:28:00,2,2,kdiba|pin01|one|11-02_19-28-0,True,-1,-1,True,False
kdiba,pin01,one,fet11-03_11-0-53,W:/Data/KDIBA/pin01/one/fet11-03_11-0-53,2006-11-03 11:00:53,3,3,kdiba|pin01|one|fet11-03_11-0-53,True,-1,-1,True,False
kdiba,pin01,one,11-03_12-3-25,W:/Data/KDIBA/pin01/one/11-03_12-3-25,2006-11-03 12:03:25,4,4,kdiba|pin01|one|11-03_12-3-25,False,1,1,False,True
kdiba,pin01,one,fet11-03_20-28-3,W:/Data/KDIBA/pin01/one/fet11-03_20-28-3,2006-11-03 20:28:03,5,5,kdiba|pin01|one|fet11-03_20-28-3,False,2,2,False,False
kdiba,pin01,one,11-03_21-26-8,W:/Data/KDIBA/pin01/one/11-03_21-26-8,2006-11-03 21:26:08,6,6,kdiba|pin01|one|11-03_21-26-8,False,3,3,False,False
kdiba,pin01,one,fet11-04_21-20-3,W:/Data/KDIBA/pin01/one/fet11-04_21-20-3,2006-11-04 21:20:03,7,7,kdiba|pin01|one|fet11-04_21-20-3,False,4,4,False,False
kdiba,pin01,one,11-05_19-26-43,W:/Data/KDIBA/pin01/one/11-05_19-26-43,2006-11-05 19:26:43,8,8,kdiba|pin01|one|11-05_19-26-43,False,5,5,False,False
kdiba,pin01,one,11-09_11-43-50,W:/Data/KDIBA/pin01/one/11-09_11-43-50,2006-11-09 11:43:50,9,9,kdiba|pin01|one|11-09_11-43-50,False,6,6,False,False
kdiba,pin01,one,11-09_12-15-3,W:/Data/KDIBA/pin01/one/11-09_12-15-3,2006-11-09 12:15:03,10,10,kdiba|pin01|one|11-09_12-15-3,False,7,7,False,False
kdiba,pin01,one,11-09_21-17-16,W:/Data/KDIBA/pin01/one/11-09_21-17-16,2006-11-09 21:17:16,11,11,kdiba|pin01|one|11-09_21-17-16,False,8,8,False,False
kdiba,pin01,one,11-09_22-4-5,W:/Data/KDIBA/pin01/one/11-09_22-4-5,2006-11-09 22:04:05,12,12,kdiba|pin01|one|11-09_22-4-5,False,9,9,False,False
kdiba,pin01,one,11-19_12-35-59,W:/Data/KDIBA/pin01/one/11-19_12-35-59,2006-11-19 12:35:59,13,13,kdiba|pin01|one|11-19_12-35-59,True,-1,-1,True,False
kdiba,pin01,one,11-19_13-2-0,W:/Data/KDIBA/pin01/one/11-19_13-2-0,2006-11-19 13:02:00,14,14,kdiba|pin01|one|11-19_13-2-0,True,-1,-1,True,False
kdiba,pin01,one,11-19_13-55-7,W:/Data/KDIBA/pin01/one/11-19_13-55-7,2006-11-19 13:55:07,15,15,kdiba|pin01|one|11-19_13-55-7,True,-1,-1,True,False
