,format_name,animal,exper_name,session_name,context,basedirs,status,errors,n_long_laps,n_long_replays,n_short_laps,n_short_replays,is_ready
10,kdiba,gor01,two,2006-6-12_16-53-46,kdiba_gor01_two_2006-6-12_16-53-46,/nfs/turbo/umms-kdiba/Data/KDIBA/gor01/two/2006-6-12_16-53-46,SessionBatchProgress.COMPLETED,,40,20,40,7,True
11,kdiba,gor01,two,2006-6-13_15-22-3,kdiba_gor01_two_2006-6-13_15-22-3,/nfs/turbo/umms-kdiba/Data/KDIBA/gor01/two/2006-6-13_15-22-3,SessionBatchProgress.COMPLETED,,40,34,40,39,True
12,kdiba,vvp01,one,2006-4-09_17-29-30,kdiba_vvp01_one_2006-4-09_17-29-30,/nfs/turbo/umms-kdiba/Data/KDIBA/vvp01/one/2006-4-09_17-29-30,SessionBatchProgress.COMPLETED,,63,57,44,38,True
13,kdiba,vvp01,one,2006-4-10_12-25-50,kdiba_vvp01_one_2006-4-10_12-25-50,/nfs/turbo/umms-kdiba/Data/KDIBA/vvp01/one/2006-4-10_12-25-50,SessionBatchProgress.FAILED,index 0 is out of bounds for axis 0 with size 0,0,0,0,0,False
14,kdiba,vvp01,one,2006-4-10_21-2-40,kdiba_vvp01_one_2006-4-10_21-2-40,/nfs/turbo/umms-kdiba/Data/KDIBA/vvp01/one/2006-4-10_21-2-40,SessionBatchProgress.FAILED,'t_rel_seconds',0,0,0,0,False
15,kdiba,vvp01,one,2006-4-11_15-16-59,kdiba_vvp01_one_2006-4-11_15-16-59,/nfs/turbo/umms-kdiba/Data/KDIBA/vvp01/one/2006-4-11_15-16-59,SessionBatchProgress.FAILED,'t_rel_seconds',0,0,0,0,False
16,kdiba,vvp01,one,2006-4-12_14-39-31,kdiba_vvp01_one_2006-4-12_14-39-31,/nfs/turbo/umms-kdiba/Data/KDIBA/vvp01/one/2006-4-12_14-39-31,SessionBatchProgress.FAILED,'t_rel_seconds',0,0,0,0,False
17,kdiba,vvp01,one,2006-4-12_17-53-55,kdiba_vvp01_one_2006-4-12_17-53-55,/nfs/turbo/umms-kdiba/Data/KDIBA/vvp01/one/2006-4-12_17-53-55,SessionBatchProgress.FAILED,'t_rel_seconds',0,0,0,0,False
18,kdiba,vvp01,one,2006-4-16_15-12-23,kdiba_vvp01_one_2006-4-16_15-12-23,/nfs/turbo/umms-kdiba/Data/KDIBA/vvp01/one/2006-4-16_15-12-23,SessionBatchProgress.FAILED,'t_rel_seconds',0,0,0,0,False
19,kdiba,vvp01,one,2006-4-17_12-33-47,kdiba_vvp01_one_2006-4-17_12-33-47,/nfs/turbo/umms-kdiba/Data/KDIBA/vvp01/one/2006-4-17_12-33-47,SessionBatchProgress.COMPLETED,,44,56,46,62,True
