"EndTime","StartTime","ScriptPath","Duration"
"3/10/2025 10:23:31 PM","3/10/2025 10:23:18 PM","C:\Users\pho\repos\Spike3DWorkEnv\Spike3D\output\gen_scripts\run_kdiba_gor01_one_2006-6-08_14-26-15\run_kdiba_gor01_one_2006-6-08_14-26-15.py","00:00:13.2406995"
"3/10/2025 10:23:45 PM","3/10/2025 10:23:33 PM","C:\Users\pho\repos\Spike3DWorkEnv\Spike3D\output\gen_scripts\run_kdiba_gor01_one_2006-6-09_1-22-43\run_kdiba_gor01_one_2006-6-09_1-22-43.py","00:00:12.0109880"
"3/10/2025 10:34:16 PM","3/10/2025 10:23:48 PM","C:\Users\pho\repos\Spike3DWorkEnv\Spike3D\output\gen_scripts\run_kdiba_gor01_one_2006-6-12_15-55-31\run_kdiba_gor01_one_2006-6-12_15-55-31.py","00:10:27.9052397"
"3/10/2025 10:39:24 PM","3/10/2025 10:34:17 PM","C:\Users\pho\repos\Spike3DWorkEnv\Spike3D\output\gen_scripts\run_kdiba_gor01_two_2006-6-07_16-40-19\run_kdiba_gor01_two_2006-6-07_16-40-19.py","00:05:07.2593069"
"3/10/2025 10:43:16 PM","3/10/2025 10:39:26 PM","C:\Users\pho\repos\Spike3DWorkEnv\Spike3D\output\gen_scripts\run_kdiba_gor01_two_2006-6-08_21-16-25\run_kdiba_gor01_two_2006-6-08_21-16-25.py","00:03:50.3568709"
"3/10/2025 10:50:31 PM","3/10/2025 10:43:17 PM","C:\Users\pho\repos\Spike3DWorkEnv\Spike3D\output\gen_scripts\run_kdiba_gor01_two_2006-6-09_22-24-40\run_kdiba_gor01_two_2006-6-09_22-24-40.py","00:07:13.3670225"
"3/10/2025 10:52:18 PM","3/10/2025 10:50:32 PM","C:\Users\pho\repos\Spike3DWorkEnv\Spike3D\output\gen_scripts\run_kdiba_gor01_two_2006-6-12_16-53-46\run_kdiba_gor01_two_2006-6-12_16-53-46.py","00:01:45.3017640"
"3/10/2025 10:53:18 PM","3/10/2025 10:52:20 PM","C:\Users\pho\repos\Spike3DWorkEnv\Spike3D\output\gen_scripts\run_kdiba_vvp01_one_2006-4-09_17-29-30\run_kdiba_vvp01_one_2006-4-09_17-29-30.py","00:00:57.3348313"
"3/10/2025 10:55:06 PM","3/10/2025 10:53:21 PM","C:\Users\pho\repos\Spike3DWorkEnv\Spike3D\output\gen_scripts\run_kdiba_vvp01_one_2006-4-10_12-25-50\run_kdiba_vvp01_one_2006-4-10_12-25-50.py","00:01:45.4566139"
"3/10/2025 10:56:58 PM","3/10/2025 10:55:09 PM","C:\Users\pho\repos\Spike3DWorkEnv\Spike3D\output\gen_scripts\run_kdiba_vvp01_two_2006-4-09_16-40-54\run_kdiba_vvp01_two_2006-4-09_16-40-54.py","00:01:48.8423096"
"3/10/2025 10:58:47 PM","3/10/2025 10:57:00 PM","C:\Users\pho\repos\Spike3DWorkEnv\Spike3D\output\gen_scripts\run_kdiba_vvp01_two_2006-4-10_12-58-3\run_kdiba_vvp01_two_2006-4-10_12-58-3.py","00:01:46.9162646"
"3/10/2025 11:00:43 PM","3/10/2025 10:58:48 PM","C:\Users\pho\repos\Spike3DWorkEnv\Spike3D\output\gen_scripts\run_kdiba_pin01_one_11-02_17-46-44\run_kdiba_pin01_one_11-02_17-46-44.py","00:01:55.3516290"
"3/10/2025 11:01:45 PM","3/10/2025 11:00:45 PM","C:\Users\pho\repos\Spike3DWorkEnv\Spike3D\output\gen_scripts\run_kdiba_pin01_one_11-02_19-28-0\run_kdiba_pin01_one_11-02_19-28-0.py","00:00:59.6561216"
"3/10/2025 11:02:31 PM","3/10/2025 11:01:45 PM","C:\Users\pho\repos\Spike3DWorkEnv\Spike3D\output\gen_scripts\run_kdiba_pin01_one_11-03_12-3-25\run_kdiba_pin01_one_11-03_12-3-25.py","00:00:45.6096691"
"3/10/2025 11:04:21 PM","3/10/2025 11:02:33 PM","C:\Users\pho\repos\Spike3DWorkEnv\Spike3D\output\gen_scripts\run_kdiba_pin01_one_fet11-01_12-58-54\run_kdiba_pin01_one_fet11-01_12-58-54.py","00:01:47.1374766"
"10/27/2025 12:34:32 PM","10/27/2025 12:11:06 PM","K:\scratch\gen_scripts\run_kdiba_gor01_one_2006-6-08_14-26-15\run_kdiba_gor01_one_2006-6-08_14-26-15__withNormalComputedReplays-qclu_1246789-frateThresh_2.0_tbin_75ms_Clean.py","00:23:25.8187028"
"10/27/2025 12:58:17 PM","10/27/2025 12:34:34 PM","K:\scratch\gen_scripts\run_kdiba_gor01_one_2006-6-09_1-22-43\run_kdiba_gor01_one_2006-6-09_1-22-43__withNormalComputedReplays-qclu_1246789-frateThresh_2.0_tbin_75ms_Clean.py","00:23:42.8655969"
"10/27/2025 1:06:14 PM","10/27/2025 12:58:19 PM","K:\scratch\gen_scripts\run_kdiba_gor01_one_2006-6-12_15-55-31\run_kdiba_gor01_one_2006-6-12_15-55-31__withNormalComputedReplays-qclu_1246789-frateThresh_2.0_tbin_75ms_Clean.py","00:07:54.9746481"
"10/27/2025 1:36:57 PM","10/27/2025 1:06:16 PM","K:\scratch\gen_scripts\run_kdiba_gor01_two_2006-6-07_16-40-19\run_kdiba_gor01_two_2006-6-07_16-40-19__withNormalComputedReplays-qclu_1246789-frateThresh_2.0_tbin_75ms_Clean.py","00:30:40.3912355"
"10/27/2025 1:55:07 PM","10/27/2025 1:36:59 PM","K:\scratch\gen_scripts\run_kdiba_gor01_two_2006-6-08_21-16-25\run_kdiba_gor01_two_2006-6-08_21-16-25__withNormalComputedReplays-qclu_1246789-frateThresh_2.0_tbin_75ms_Clean.py","00:18:07.9824031"
"10/27/2025 2:33:19 PM","10/27/2025 1:55:08 PM","K:\scratch\gen_scripts\run_kdiba_gor01_two_2006-6-09_22-24-40\run_kdiba_gor01_two_2006-6-09_22-24-40__withNormalComputedReplays-qclu_1246789-frateThresh_2.0_tbin_75ms_Clean.py","00:38:10.6602524"
"10/27/2025 2:36:44 PM","10/27/2025 2:33:21 PM","K:\scratch\gen_scripts\run_kdiba_gor01_two_2006-6-12_16-53-46\run_kdiba_gor01_two_2006-6-12_16-53-46__withNormalComputedReplays-qclu_1246789-frateThresh_2.0_tbin_75ms_Clean.py","00:03:23.3842024"
"10/27/2025 2:41:44 PM","10/27/2025 2:36:45 PM","K:\scratch\gen_scripts\run_kdiba_vvp01_one_2006-4-10_12-25-50\run_kdiba_vvp01_one_2006-4-10_12-25-50__withNormalComputedReplays-qclu_1246789-frateThresh_2.0_tbin_75ms_Clean.py","00:04:59.5670204"
"10/27/2025 2:47:24 PM","10/27/2025 2:41:45 PM","K:\scratch\gen_scripts\run_kdiba_vvp01_two_2006-4-09_16-40-54\run_kdiba_vvp01_two_2006-4-09_16-40-54__withNormalComputedReplays-qclu_1246789-frateThresh_2.0_tbin_75ms_Clean.py","00:05:38.9335401"
"10/27/2025 2:52:15 PM","10/27/2025 2:47:27 PM","K:\scratch\gen_scripts\run_kdiba_vvp01_two_2006-4-10_12-58-3\run_kdiba_vvp01_two_2006-4-10_12-58-3__withNormalComputedReplays-qclu_1246789-frateThresh_2.0_tbin_75ms_Clean.py","00:04:48.3621849"
"10/27/2025 2:57:17 PM","10/27/2025 2:52:18 PM","K:\scratch\gen_scripts\run_kdiba_vvp01_two_2006-4-10_12-58-3\run_kdiba_vvp01_two_2006-4-10_12-58-3__withNormalComputedReplays-qclu_1246789-frateThresh_2.0_tbin_75ms_Clean.py","00:04:58.7864552"
"10/27/2025 3:04:39 PM","10/27/2025 2:57:18 PM","K:\scratch\gen_scripts\run_kdiba_pin01_one_11-02_17-46-44\run_kdiba_pin01_one_11-02_17-46-44__withNormalComputedReplays-qclu_1246789-frateThresh_2.0_tbin_75ms_Clean.py","00:07:20.8430967"
"10/27/2025 4:27:12 PM","10/27/2025 3:43:23 PM","K:\scratch\gen_scripts\run_kdiba_gor01_one_2006-6-08_14-26-15\run_kdiba_gor01_one_2006-6-08_14-26-15__withNormalComputedReplays-qclu_1246789-frateThresh_2.0_tbin_75ms_Continued.py","00:43:48.5363985"
"10/27/2025 5:01:19 PM","10/27/2025 4:27:16 PM","K:\scratch\gen_scripts\run_kdiba_gor01_one_2006-6-09_1-22-43\run_kdiba_gor01_one_2006-6-09_1-22-43__withNormalComputedReplays-qclu_1246789-frateThresh_2.0_tbin_75ms_Continued.py","00:34:03.5228948"
"10/27/2025 5:15:06 PM","10/27/2025 5:01:21 PM","K:\scratch\gen_scripts\run_kdiba_gor01_one_2006-6-12_15-55-31\run_kdiba_gor01_one_2006-6-12_15-55-31__withNormalComputedReplays-qclu_1246789-frateThresh_2.0_tbin_75ms_Continued.py","00:13:44.4214888"
"10/27/2025 6:05:02 PM","10/27/2025 5:15:07 PM","K:\scratch\gen_scripts\run_kdiba_gor01_two_2006-6-07_16-40-19\run_kdiba_gor01_two_2006-6-07_16-40-19__withNormalComputedReplays-qclu_1246789-frateThresh_2.0_tbin_75ms_Continued.py","00:49:55.1747611"
"10/27/2025 6:21:59 PM","10/27/2025 6:05:04 PM","K:\scratch\gen_scripts\run_kdiba_gor01_two_2006-6-08_21-16-25\run_kdiba_gor01_two_2006-6-08_21-16-25__withNormalComputedReplays-qclu_1246789-frateThresh_2.0_tbin_75ms_Continued.py","00:16:54.5307448"
"10/27/2025 7:26:12 PM","10/27/2025 6:22:02 PM","K:\scratch\gen_scripts\run_kdiba_gor01_two_2006-6-09_22-24-40\run_kdiba_gor01_two_2006-6-09_22-24-40__withNormalComputedReplays-qclu_1246789-frateThresh_2.0_tbin_75ms_Continued.py","01:04:10.3387705"
